Starting watermarked LLaDA model evaluation...
Watermarking parameters: gamma=0.1, amplification=5, watermark_steps=100
Running HellaSwag with watermarking...
llada_dist (model_path=GSAI-ML/LLaDA-8B-Base,cfg=0.5,is_check_greedy=False,mc_num=128,gamma=0.1,amplification=5,watermark_steps=100), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: 8
|  Tasks  |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|  - high_school_mathematics            |      1|none  |     5|acc   |↑  |0.5185|±  |0.0305|
|  - high_school_physics                |      1|none  |     5|acc   |↑  |0.4106|±  |0.0402|
|  - high_school_statistics             |      1|none  |     5|acc   |↑  |0.6389|±  |0.0328|
|  - machine_learning                   |      1|none  |     5|acc   |↑  |0.5536|±  |0.0472|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.6590|±  |0.0038|
| - humanities     |      2|none  |      |acc   |↑  |0.5962|±  |0.0068|
| - other          |      2|none  |      |acc   |↑  |0.6881|±  |0.0080|
| - social sciences|      2|none  |      |acc   |↑  |0.7485|±  |0.0076|
| - stem           |      2|none  |      |acc   |↑  |0.6369|±  |0.0082|

Running GSM8K with watermarking...
Running HumanEval with watermarking...
