filename,gamma,delta,steps,style_avg,consistency_avg,accuracy_avg,ethics_avg,overall_avg_score,avg_perplexity,avg_z_score,total_prompts
run_gamma=0.1_delta=8_steps=20_sampled_100_gpt4_eval.json,0.1,8.0,20,7.66,7.84,6.58,7.9,7.495,9.929407632350921,15.547308922311645,100
run_gamma=0.1_delta=8_steps=300_sampled_100_gpt4_eval.json,0.1,8.0,300,4.71,4.39,4.11,6.38,4.8975,9.562006068229675,29.96503239738965,100
run_gamma=0.1_delta=8_steps=40_sampled_100_gpt4_eval.json,0.1,8.0,40,4.65,4.35,4.12,6.37,4.8725,9.562006068229675,29.96503239738965,100
run_gamma=0.1_delta=8_steps=5_sampled_100_gpt4_eval.json,0.1,8.0,5,8.48,8.95,7.34,8.55,8.33,10.487406787872315,3.2281735941686747,100
run_gamma=0.1_delta=8_steps=80_sampled_100_gpt4_eval.json,0.1,8.0,80,4.71,4.29,4.08,6.42,4.875,9.562006068229675,29.96503239738965,100
run_gamma=0.25_delta=0.5_steps=10_sampled_100_gpt4_eval.json,0.25,0.5,10,8.46,8.89,7.08,8.46,8.2225,10.262821927070618,0.5906609020511564,100
run_gamma=0.25_delta=0.5_steps=160_sampled_100_gpt4_eval.json,0.25,0.5,160,8.51,9.07,7.43,8.69,8.425,9.965096220970153,0.6746966186912147,100
run_gamma=0.25_delta=0.5_steps=20_sampled_100_gpt4_eval.json,0.25,0.5,20,8.5,9.03,7.45,8.61,8.3975,10.253902797698975,0.5968409743395562,100
run_gamma=0.25_delta=0.5_steps=300_sampled_100_gpt4_eval.json,0.25,0.5,300,8.51,8.97,7.37,8.65,8.375,9.965096220970153,0.6746966186912147,100
run_gamma=0.25_delta=0.5_steps=40_sampled_100_gpt4_eval.json,0.25,0.5,40,8.56,9.09,7.42,8.72,8.4475,9.965096220970153,0.6746966186912147,100
run_gamma=0.25_delta=0.5_steps=5_sampled_100_gpt4_eval.json,0.25,0.5,5,8.52,9.02,7.38,8.64,8.39,10.611906371116639,0.6557564804507754,100
run_gamma=0.25_delta=0.5_steps=80_sampled_100_gpt4_eval.json,0.25,0.5,80,8.56,9.02,7.39,8.64,8.4025,9.965096220970153,0.6746966186912147,100
run_gamma=0.25_delta=1_steps=10_sampled_100_gpt4_eval.json,0.25,1.0,10,8.31,8.85,7.04,8.37,8.1425,9.858396687507629,0.6293774445699568,100
run_gamma=0.25_delta=1_steps=160_sampled_100_gpt4_eval.json,0.25,1.0,160,8.55,9.03,7.28,8.69,8.3875,10.252115395069122,0.9664972761339822,100
run_gamma=0.25_delta=1_steps=20_sampled_100_gpt4_eval.json,0.25,1.0,20,8.55,8.97,7.34,8.53,8.3475,10.297196388244629,0.841333160739512,100
run_gamma=0.25_delta=1_steps=300_sampled_100_gpt4_eval.json,0.25,1.0,300,8.53,9.04,7.45,8.8,8.455,10.252115395069122,0.9664972761339822,100
run_gamma=0.25_delta=1_steps=40_sampled_100_gpt4_eval.json,0.25,1.0,40,8.57,9.15,7.43,8.72,8.4675,10.252115395069122,0.9664972761339822,100
run_gamma=0.25_delta=1_steps=5_sampled_100_gpt4_eval.json,0.25,1.0,5,8.43,8.84,7.16,8.42,8.2125,9.99419466972351,0.6163019129031678,100
run_gamma=0.25_delta=1_steps=80_sampled_100_gpt4_eval.json,0.25,1.0,80,8.54,8.99,7.41,8.66,8.4,10.252115395069122,0.9664972761339822,100
run_gamma=0.25_delta=2_steps=10_sampled_100_gpt4_eval.json,0.25,2.0,10,8.56,8.94,7.34,8.61,8.3625,10.38796406507492,0.7487150309124427,100
run_gamma=0.25_delta=2_steps=160_sampled_100_gpt4_eval.json,0.25,2.0,160,8.68,9.09,7.58,8.67,8.505,9.973384339809417,1.9489550785830465,100
run_gamma=0.25_delta=2_steps=20_sampled_100_gpt4_eval.json,0.25,2.0,20,8.63,9.13,7.47,8.66,8.4725,10.093965182304382,1.2164484127241895,100
run_gamma=0.25_delta=2_steps=300_sampled_100_gpt4_eval.json,0.25,2.0,300,8.64,9.13,7.57,8.8,8.535,9.973384339809417,1.9489550785830465,100
run_gamma=0.25_delta=2_steps=40_sampled_100_gpt4_eval.json,0.25,2.0,40,8.7,9.13,7.54,8.76,8.5325,9.973384339809417,1.9489550785830465,100
run_gamma=0.25_delta=2_steps=5_sampled_100_gpt4_eval.json,0.25,2.0,5,8.53,9.07,7.28,8.39,8.3175,9.67095332622528,0.6300952488704925,100
run_gamma=0.25_delta=2_steps=80_sampled_100_gpt4_eval.json,0.25,2.0,80,8.68,9.15,7.47,8.64,8.485,9.973384339809417,1.9489550785830465,100
run_gamma=0.25_delta=4_steps=10_sampled_100_gpt4_eval.json,0.25,4.0,10,8.48,9.02,7.26,8.54,8.325,10.066215827465058,1.3840749469634954,100
run_gamma=0.25_delta=4_steps=160_sampled_100_gpt4_eval.json,0.25,4.0,160,8.37,8.75,6.99,8.28,8.0975,11.808856828212738,5.931999086081273,100
run_gamma=0.25_delta=4_steps=20_sampled_100_gpt4_eval.json,0.25,4.0,20,8.39,8.87,7.55,8.54,8.3375,11.583489198684692,3.4001235399810876,100
run_gamma=0.25_delta=4_steps=300_sampled_100_gpt4_eval.json,0.25,4.0,300,8.38,8.77,7.1,8.2,8.1125,11.808856828212738,5.931999086081273,100
run_gamma=0.25_delta=4_steps=40_sampled_100_gpt4_eval.json,0.25,4.0,40,8.26,8.61,7.06,8.2,8.0325,11.808856828212738,5.931999086081273,100
run_gamma=0.25_delta=4_steps=5_sampled_100_gpt4_eval.json,0.25,4.0,5,8.43,9.02,7.35,8.65,8.3625,10.400800602436066,0.8530423422500704,100
run_gamma=0.25_delta=4_steps=80_sampled_100_gpt4_eval.json,0.25,4.0,80,8.37,8.84,7.07,8.3,8.145,11.808856828212738,5.931999086081273,100
run_gamma=0.25_delta=8_steps=10_sampled_100_gpt4_eval.json,0.25,8.0,10,8.49,8.95,7.32,8.72,8.37,10.831107044219971,2.643984942519868,100
run_gamma=0.25_delta=8_steps=160_sampled_100_gpt4_eval.json,0.25,8.0,160,6.84,6.77,5.75,7.66,6.755,19.05732987165451,16.442281323634024,100
run_gamma=0.25_delta=8_steps=20_sampled_100_gpt4_eval.json,0.25,8.0,20,8.31,8.6,7.07,8.16,8.035,10.10135104894638,7.813355762537927,100
run_gamma=0.25_delta=8_steps=300_sampled_100_gpt4_eval.json,0.25,8.0,300,6.83,6.78,5.75,7.45,6.7025,19.05732987165451,16.442281323634024,100
run_gamma=0.25_delta=8_steps=40_sampled_100_gpt4_eval.json,0.25,8.0,40,6.87,6.92,5.85,7.44,6.77,19.05732987165451,16.442281323634024,100
run_gamma=0.25_delta=8_steps=5_sampled_100_gpt4_eval.json,0.25,8.0,5,8.45,8.81,7.3,8.64,8.3,10.117896082401275,1.3572527657778322,100
run_gamma=0.25_delta=8_steps=80_sampled_100_gpt4_eval.json,0.25,8.0,80,6.92,6.97,5.82,7.64,6.8375,19.05732987165451,16.442281323634024,100
run_gamma=0.5_delta=0.5_steps=10_sampled_100_gpt4_eval.json,0.5,0.5,10,8.42,8.79,7.26,8.52,8.2475,10.405611696243286,0.8225124452100725,100
run_gamma=0.5_delta=0.5_steps=160_sampled_100_gpt4_eval.json,0.5,0.5,160,8.58,9.04,7.6,8.77,8.4975,10.375743384361266,0.9289949260085073,100
run_gamma=0.5_delta=0.5_steps=20_sampled_100_gpt4_eval.json,0.5,0.5,20,8.58,8.98,7.44,8.67,8.4175,10.431384799480439,0.9283747707839357,100
run_gamma=0.5_delta=0.5_steps=300_sampled_100_gpt4_eval.json,0.5,0.5,300,8.58,9.0,7.57,8.67,8.455,10.375743384361266,0.9289949260085073,100
run_gamma=0.5_delta=0.5_steps=40_sampled_100_gpt4_eval.json,0.5,0.5,40,8.62,9.14,7.55,8.69,8.5,10.375743384361266,0.9289949260085073,100
run_gamma=0.5_delta=0.5_steps=5_sampled_100_gpt4_eval.json,0.5,0.5,5,8.49,8.98,7.33,8.58,8.345,11.268595519065856,0.8947641848843934,100
run_gamma=0.5_delta=0.5_steps=80_sampled_100_gpt4_eval.json,0.5,0.5,80,8.58,9.07,7.48,8.73,8.465,10.375743384361266,0.9289949260085073,100
run_gamma=0.5_delta=1_steps=10_sampled_100_gpt4_eval.json,0.5,1.0,10,8.52,9.06,7.3,8.58,8.365,10.090249981880188,0.9431172047482802,100
run_gamma=0.5_delta=1_steps=160_sampled_100_gpt4_eval.json,0.5,1.0,160,8.46,8.77,7.42,8.57,8.305,9.888279383182526,1.257561352449642,100
run_gamma=0.5_delta=1_steps=20_sampled_100_gpt4_eval.json,0.5,1.0,20,8.42,8.79,7.46,8.76,8.3575,10.503854703903198,1.0973606595600127,100
run_gamma=0.5_delta=1_steps=300_sampled_100_gpt4_eval.json,0.5,1.0,300,8.43,8.86,7.29,8.5,8.27,9.888279383182526,1.257561352449642,100
run_gamma=0.5_delta=1_steps=40_sampled_100_gpt4_eval.json,0.5,1.0,40,8.5,9.0,7.36,8.49,8.3375,9.888279383182526,1.257561352449642,100
run_gamma=0.5_delta=1_steps=5_sampled_100_gpt4_eval.json,0.5,1.0,5,8.49,9.0,7.31,8.63,8.3575,11.11431405544281,1.0153751538136826,100
run_gamma=0.5_delta=1_steps=80_sampled_100_gpt4_eval.json,0.5,1.0,80,8.52,8.92,7.38,8.51,8.3325,9.888279383182526,1.257561352449642,100
run_gamma=0.5_delta=2_steps=10_sampled_100_gpt4_eval.json,0.5,2.0,10,8.55,9.04,7.39,8.71,8.4225,10.84065949678421,0.9916890045215425,100
run_gamma=0.5_delta=2_steps=160_sampled_100_gpt4_eval.json,0.5,2.0,160,8.53,9.04,7.45,8.75,8.4425,11.21592717409134,2.366069365679197,100
run_gamma=0.5_delta=2_steps=20_sampled_100_gpt4_eval.json,0.5,2.0,20,8.61,8.99,7.46,8.67,8.4325,10.309504709243775,1.501592864650748,100
run_gamma=0.5_delta=2_steps=300_sampled_100_gpt4_eval.json,0.5,2.0,300,8.52,9.02,7.6,8.88,8.505,11.21592717409134,2.366069365679197,100
run_gamma=0.5_delta=2_steps=40_sampled_100_gpt4_eval.json,0.5,2.0,40,8.55,9.12,7.46,8.78,8.4775,11.21592717409134,2.366069365679197,100
run_gamma=0.5_delta=2_steps=5_sampled_100_gpt4_eval.json,0.5,2.0,5,8.48,8.92,7.18,8.58,8.29,9.807220976352692,0.8545508291561419,100
run_gamma=0.5_delta=2_steps=80_sampled_100_gpt4_eval.json,0.5,2.0,80,8.52,9.03,7.48,8.75,8.445,11.21592717409134,2.366069365679197,100
run_gamma=0.5_delta=4_steps=10_sampled_100_gpt4_eval.json,0.5,4.0,10,8.37,8.76,7.34,8.55,8.255,9.524329388141632,1.3480211934296225,100
run_gamma=0.5_delta=4_steps=160_sampled_100_gpt4_eval.json,0.5,4.0,160,8.61,9.04,7.44,8.72,8.4525,11.72033329486847,4.757608038275248,100
run_gamma=0.5_delta=4_steps=20_sampled_100_gpt4_eval.json,0.5,4.0,20,8.62,9.02,7.44,8.55,8.4075,10.27757597208023,2.7380905223710066,100
run_gamma=0.5_delta=4_steps=300_sampled_100_gpt4_eval.json,0.5,4.0,300,8.65,9.06,7.47,8.5,8.42,11.72033329486847,4.757608038275248,100
run_gamma=0.5_delta=4_steps=40_sampled_100_gpt4_eval.json,0.5,4.0,40,8.66,9.05,7.51,8.5,8.43,11.72033329486847,4.757608038275248,100
run_gamma=0.5_delta=4_steps=5_sampled_100_gpt4_eval.json,0.5,4.0,5,8.4,8.92,7.34,8.67,8.3325,9.72209221959114,0.9809056626463747,100
run_gamma=0.5_delta=4_steps=80_sampled_100_gpt4_eval.json,0.5,4.0,80,8.63,9.01,7.5,8.61,8.4375,11.72033329486847,4.757608038275248,100
run_gamma=0.5_delta=8_steps=10_sampled_100_gpt4_eval.json,0.5,8.0,10,8.67,9.19,7.54,8.61,8.5025,9.961586520671844,1.5023617980615045,100
run_gamma=0.5_delta=8_steps=160_sampled_100_gpt4_eval.json,0.5,8.0,160,8.05,8.38,6.84,8.3,7.8925,15.206605267524719,8.694416591610953,100
run_gamma=0.5_delta=8_steps=20_sampled_100_gpt4_eval.json,0.5,8.0,20,8.46,8.88,7.27,8.29,8.225,11.32501032590866,3.7912647259519345,100
run_gamma=0.5_delta=8_steps=300_sampled_100_gpt4_eval.json,0.5,8.0,300,8.05,8.42,6.79,8.31,7.8925,15.206605267524719,8.694416591610953,100
run_gamma=0.5_delta=8_steps=40_sampled_100_gpt4_eval.json,0.5,8.0,40,8.1,8.41,6.87,8.28,7.915,15.206605267524719,8.694416591610953,100
run_gamma=0.5_delta=8_steps=5_sampled_100_gpt4_eval.json,0.5,8.0,5,8.5,8.88,7.25,8.27,8.225,9.688885530233383,0.9626754156913162,100
run_gamma=0.5_delta=8_steps=80_sampled_100_gpt4_eval.json,0.5,8.0,80,8.06,8.44,6.83,8.34,7.9175,15.206605267524719,8.694416591610953,100
run_gamma=0.75_delta=0.5_steps=10_sampled_100_gpt4_eval.json,0.75,0.5,10,8.53,9.0,7.26,8.53,8.33,10.101790030002594,0.4808138980216565,100
run_gamma=0.75_delta=0.5_steps=160_sampled_100_gpt4_eval.json,0.75,0.5,160,8.47,8.92,7.64,8.77,8.45,9.852624871730804,0.5694840109785463,100
run_gamma=0.75_delta=0.5_steps=20_sampled_100_gpt4_eval.json,0.75,0.5,20,8.49,8.98,7.6,8.63,8.425,10.492663135528565,0.47134182984872053,100
run_gamma=0.75_delta=0.5_steps=300_sampled_100_gpt4_eval.json,0.75,0.5,300,8.5,8.87,7.59,8.82,8.445,9.852624871730804,0.5694840109785463,100
run_gamma=0.75_delta=0.5_steps=40_sampled_100_gpt4_eval.json,0.75,0.5,40,8.44,8.92,7.56,8.72,8.41,9.852624871730804,0.5694840109785463,100
run_gamma=0.75_delta=0.5_steps=5_sampled_100_gpt4_eval.json,0.75,0.5,5,8.55,9.05,7.35,8.8,8.4375,11.410063297748566,0.4745873511346598,100
run_gamma=0.75_delta=0.5_steps=80_sampled_100_gpt4_eval.json,0.75,0.5,80,8.43,8.9,7.55,8.74,8.405,9.852624871730804,0.5694840109785463,100
run_gamma=0.75_delta=1_steps=10_sampled_100_gpt4_eval.json,0.75,1.0,10,8.64,9.22,7.44,8.78,8.52,10.705849061012268,0.5335986702575019,100
run_gamma=0.75_delta=1_steps=160_sampled_100_gpt4_eval.json,0.75,1.0,160,8.48,9.03,7.57,8.59,8.4175,10.19123579263687,0.8350951568534184,100
run_gamma=0.75_delta=1_steps=20_sampled_100_gpt4_eval.json,0.75,1.0,20,8.63,9.06,7.58,8.78,8.5125,10.892031280994415,0.5545209302665234,100
run_gamma=0.75_delta=1_steps=300_sampled_100_gpt4_eval.json,0.75,1.0,300,8.55,9.08,7.55,8.56,8.435,10.19123579263687,0.8350951568534184,100
run_gamma=0.75_delta=1_steps=40_sampled_100_gpt4_eval.json,0.75,1.0,40,8.54,9.05,7.66,8.56,8.4525,10.19123579263687,0.8350951568534184,100
run_gamma=0.75_delta=1_steps=5_sampled_100_gpt4_eval.json,0.75,1.0,5,8.55,8.96,7.24,8.62,8.3425,11.367043550014495,0.5682109779135617,100
run_gamma=0.75_delta=1_steps=80_sampled_100_gpt4_eval.json,0.75,1.0,80,8.5,9.06,7.62,8.55,8.4325,10.19123579263687,0.8350951568534184,100
run_gamma=0.75_delta=2_steps=10_sampled_100_gpt4_eval.json,0.75,2.0,10,8.53,9.05,7.57,8.81,8.49,10.435180053710937,0.6322516318977385,100
run_gamma=0.75_delta=2_steps=160_sampled_100_gpt4_eval.json,0.75,2.0,160,8.53,9.0,7.45,8.67,8.4125,10.483153965473175,1.3587119106397203,100
run_gamma=0.75_delta=2_steps=20_sampled_100_gpt4_eval.json,0.75,2.0,20,8.6,9.05,7.54,8.62,8.4525,10.725711913108826,0.8501824143386708,100
run_gamma=0.75_delta=2_steps=300_sampled_100_gpt4_eval.json,0.75,2.0,300,8.53,9.0,7.47,8.73,8.4325,10.483153965473175,1.3587119106397203,100
run_gamma=0.75_delta=2_steps=40_sampled_100_gpt4_eval.json,0.75,2.0,40,8.51,8.93,7.47,8.71,8.405,10.483153965473175,1.3587119106397203,100
run_gamma=0.75_delta=2_steps=5_sampled_100_gpt4_eval.json,0.75,2.0,5,8.61,9.09,7.36,8.65,8.4275,10.724761664867401,0.47517530962425497,100
run_gamma=0.75_delta=2_steps=80_sampled_100_gpt4_eval.json,0.75,2.0,80,8.53,9.01,7.46,8.77,8.4425,10.483153965473175,1.3587119106397203,100
run_gamma=0.75_delta=4_steps=10_sampled_100_gpt4_eval.json,0.75,4.0,10,8.48,8.99,7.43,8.76,8.415,9.598060162067414,0.7224750554489809,100
run_gamma=0.75_delta=4_steps=160_sampled_100_gpt4_eval.json,0.75,4.0,160,8.42,8.76,7.42,8.53,8.2825,10.410896379947662,2.422043177304669,100
run_gamma=0.75_delta=4_steps=20_sampled_100_gpt4_eval.json,0.75,4.0,20,8.42,8.81,7.55,8.69,8.3675,10.91623281955719,1.1892894443483923,100
run_gamma=0.75_delta=4_steps=300_sampled_100_gpt4_eval.json,0.75,4.0,300,8.42,8.76,7.48,8.48,8.285,10.410896379947662,2.422043177304669,100
run_gamma=0.75_delta=4_steps=40_sampled_100_gpt4_eval.json,0.75,4.0,40,8.45,8.88,7.52,8.67,8.38,10.410896379947662,2.422043177304669,100
run_gamma=0.75_delta=4_steps=5_sampled_100_gpt4_eval.json,0.75,4.0,5,8.62,9.09,7.45,8.65,8.4525,9.901423733234406,0.5829576144108727,100
run_gamma=0.75_delta=4_steps=80_sampled_100_gpt4_eval.json,0.75,4.0,80,8.45,8.79,7.54,8.52,8.325,10.410896379947662,2.422043177304669,100
run_gamma=0.75_delta=8_steps=10_sampled_100_gpt4_eval.json,0.75,8.0,10,8.72,9.3,7.54,8.86,8.605,9.933169386386872,0.8066761126814933,100
run_gamma=0.75_delta=8_steps=160_sampled_100_gpt4_eval.json,0.75,8.0,160,8.55,8.93,7.16,8.32,8.24,12.061100416183471,4.557265401006258,100
run_gamma=0.75_delta=8_steps=20_sampled_100_gpt4_eval.json,0.75,8.0,20,8.67,9.04,7.53,8.7,8.485,10.264226837158203,1.444896720719003,100
run_gamma=0.75_delta=8_steps=300_sampled_100_gpt4_eval.json,0.75,8.0,300,8.48,8.83,7.21,8.32,8.21,12.061100416183471,4.557265401006258,100
run_gamma=0.75_delta=8_steps=40_sampled_100_gpt4_eval.json,0.75,8.0,40,8.49,8.82,7.14,8.22,8.1675,12.061100416183471,4.557265401006258,100
run_gamma=0.75_delta=8_steps=5_sampled_100_gpt4_eval.json,0.75,8.0,5,8.63,9.12,7.31,8.35,8.3525,10.615916411876679,0.5278491136237391,100
run_gamma=0.75_delta=8_steps=80_sampled_100_gpt4_eval.json,0.75,8.0,80,8.51,8.9,7.17,8.23,8.2025,12.061100416183471,4.557265401006258,100
run_gamma=0.9_delta=0.5_steps=10_sampled_100_gpt4_eval.json,0.9,0.5,10,8.47,9.01,7.49,8.6,8.3925,11.399797430038452,0.8386891804329258,100
run_gamma=0.9_delta=0.5_steps=160_sampled_100_gpt4_eval.json,0.9,0.5,160,8.5,9.07,7.3,8.54,8.3525,11.007384169101716,0.9469444520313112,100
run_gamma=0.9_delta=0.5_steps=20_sampled_100_gpt4_eval.json,0.9,0.5,20,8.48,8.9,7.38,8.71,8.3675,11.453071267604829,0.9009426106305385,100
run_gamma=0.9_delta=0.5_steps=300_sampled_100_gpt4_eval.json,0.9,0.5,300,8.43,8.97,7.32,8.58,8.325,11.007384169101716,0.9469444520313112,100
run_gamma=0.9_delta=0.5_steps=40_sampled_100_gpt4_eval.json,0.9,0.5,40,8.52,9.0,7.27,8.67,8.365,11.007384169101716,0.9469444520313112,100
run_gamma=0.9_delta=0.5_steps=5_sampled_100_gpt4_eval.json,0.9,0.5,5,8.41,8.85,7.25,8.52,8.2575,11.360368671417236,0.8311399839252895,100
run_gamma=0.9_delta=0.5_steps=80_sampled_100_gpt4_eval.json,0.9,0.5,80,8.48,8.95,7.27,8.54,8.31,11.007384169101716,0.9469444520313112,100
run_gamma=0.9_delta=1_steps=10_sampled_100_gpt4_eval.json,0.9,1.0,10,8.51,9.07,7.26,8.43,8.3175,10.530196979045868,0.959165606133028,100
run_gamma=0.9_delta=1_steps=160_sampled_100_gpt4_eval.json,0.9,1.0,160,8.51,9.01,7.35,8.62,8.3725,9.91306824207306,0.9995364727292403,100
run_gamma=0.9_delta=1_steps=20_sampled_100_gpt4_eval.json,0.9,1.0,20,8.53,8.99,7.43,8.61,8.39,10.569615876674652,0.9148517447772327,100
run_gamma=0.9_delta=1_steps=300_sampled_100_gpt4_eval.json,0.9,1.0,300,8.51,9.04,7.3,8.46,8.3275,9.91306824207306,0.9995364727292403,100
run_gamma=0.9_delta=1_steps=40_sampled_100_gpt4_eval.json,0.9,1.0,40,8.47,8.95,7.26,8.46,8.285,9.91306824207306,0.9995364727292403,100
run_gamma=0.9_delta=1_steps=5_sampled_100_gpt4_eval.json,0.9,1.0,5,8.46,8.95,7.4,8.45,8.315,11.382473948001861,0.9362829447319575,100
run_gamma=0.9_delta=1_steps=80_sampled_100_gpt4_eval.json,0.9,1.0,80,8.55,9.05,7.31,8.55,8.365,9.91306824207306,0.9995364727292403,100
run_gamma=0.9_delta=2_steps=10_sampled_100_gpt4_eval.json,0.9,2.0,10,8.54,9.05,7.37,8.47,8.3575,10.71320220708847,0.8613146589084496,100
run_gamma=0.9_delta=2_steps=160_sampled_100_gpt4_eval.json,0.9,2.0,160,8.52,9.0,7.12,8.47,8.2775,9.778777298927308,1.1831338353380811,100
run_gamma=0.9_delta=2_steps=20_sampled_100_gpt4_eval.json,0.9,2.0,20,8.64,9.14,7.33,8.58,8.4225,9.885669271945954,0.9114982585431664,100
run_gamma=0.9_delta=2_steps=300_sampled_100_gpt4_eval.json,0.9,2.0,300,8.51,8.93,7.18,8.52,8.285,9.778777298927308,1.1831338353380811,100
run_gamma=0.9_delta=2_steps=40_sampled_100_gpt4_eval.json,0.9,2.0,40,8.48,8.89,7.31,8.48,8.29,9.778777298927308,1.1831338353380811,100
run_gamma=0.9_delta=2_steps=5_sampled_100_gpt4_eval.json,0.9,2.0,5,8.54,9.01,7.19,8.58,8.33,10.942309198379517,0.8954482995170915,100
run_gamma=0.9_delta=2_steps=80_sampled_100_gpt4_eval.json,0.9,2.0,80,8.48,9.03,7.36,8.63,8.375,9.778777298927308,1.1831338353380811,100
